docking_rank,candidate_id,chunk_id,source_models,minimized_affinity_kcal_mol,cnn_score,cnn_affinity,cnn_vs,mw,tpsa,clogp,hbd,hba,rotatable_bonds,formal_charge,sa_score,lipinski_rule_of_five_violations,max_clinical_similarity,max_patent_proxy_similarity,parent_inchi_key,parent_smiles,canonical_smiles,generated_smiles,pose_sdf,analysis_smiles,murcko_scaffold,generic_murcko_scaffold,structure_qc_flags,pose_qc_pass,pose_qc_flags,ecfp_cluster_id,selected_for_admet,selected_for_pre_admet_md,admet_selection_rank,pre_admet_md_selection_rank
134,FXIA-GEN-007458,0015,reinvent_denovo,-7.69297,0.9692184329,6.2821993828,6.0888233185,408.838,106.72,3.266,2.0,6.0,7.0,0.0,2.16,0.0,0.222,0.222,FUTOHYHGYHGZDV-UHFFFAOYSA-N,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)OCC(=O)Nc1cc(Cl)ccc1OC,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)OCC(=O)Nc1cc(Cl)ccc1OC,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)OCC(=O)Nc1cc(Cl)ccc1OC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0015_gnina_poses.sdf,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)OCC(=O)Nc1cc(Cl)ccc1OC,O=C(COC(=O)c1cc[nH]c1)Nc1ccccc1,CC(CCC(C)C1CCCC1)CC1CCCCC1,ok,true,ok,94,true,false,94,
135,FXIA-GEN-020817,0042,reinvent_denovo,-8.12365,0.9691992998,6.7135338783,6.506752491,428.897,75.71,4.58,1.0,5.0,7.0,0.0,2.216,0.0,0.171,0.198,OJTXEERFWWRFRZ-UHFFFAOYSA-N,C=CCOc1ccccc1C=C1SC(=O)N(CC(=O)Nc2ccc(Cl)cc2)C1=O,C=CCOc1ccccc1C=C1SC(=O)N(CC(=O)Nc2ccc(Cl)cc2)C1=O,C=CCOc1ccccc1C=C1SC(=O)N(CC(=O)Nc2ccc(Cl)cc2)C1=O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0042_gnina_poses.sdf,C=CCOc1ccccc1C=C1SC(=O)N(CC(=O)Nc2ccc(Cl)cc2)C1=O,O=C(CN1C(=O)SC(=Cc2ccccc2)C1=O)Nc1ccccc1,CC(CC1CCCCC1)CC1C(C)CC(CC2CCCCC2)C1C,ok,true,ok,95,true,false,95,
136,FXIA-GEN-024085,0049,reinvent_denovo,-8.12646,0.9691108465,6.7058463097,6.4987082481,428.919,93.73,3.592,2.0,6.0,5.0,0.0,2.646,0.0,0.17,0.226,QOCYXQJPHSMCNA-UHFFFAOYSA-N,COc1ccc(Cl)cc1S(=O)(=O)Nc1c(OC)ccc2c1NC(=O)CCS2,COc1ccc(Cl)cc1S(=O)(=O)Nc1c(OC)ccc2c1NC(=O)CCS2,COc1ccc(Cl)cc1S(=O)(=O)Nc1c(OC)ccc2c1NC(=O)CCS2,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0049_gnina_poses.sdf,COc1ccc(Cl)cc1S(=O)(=O)Nc1c(OC)ccc2c1NC(=O)CCS2,O=C1CCSc2cccc(NS(=O)(=O)c3ccccc3)c2N1,CC1CCCC2CCCC(CC(C)(C)C3CCCCC3)C2C1,ok,true,ok,96,true,false,96,
138,FXIA-GEN-018783,0038,mol2mol,-8.95327,0.9690468311,7.7006521225,7.4622926712,442.882,100.85,3.596,1.0,6.0,7.0,0.0,3.935,0.0,0.396,0.495,NBSJLUCKZSKUSS-JCCRNWBBSA-N,C=C(/C=C\C=C(/N)F)[C@@H](C)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnnn2)cc1=O,C=C(/C=C\C=C(/N)F)[C@@H](C)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnnn2)cc1=O,C=C(/C=C\C=C(/N)F)[C@@H](C)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnnn2)cc1=O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0038_gnina_poses.sdf,C=C(/C=C\C=C(/N)F)[C@@H](C)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnnn2)cc1=O,O=c1cc(-c2ccccc2-n2cnnn2)cc[nH]1,CC1CCCC(C2CCCCC2C2CCCC2)C1,ok,true,ok,97,true,false,97,
140,FXIA-GEN-008126,0017,reinvent_denovo,-8.69446,0.9688370824,7.4576039314,7.2252030373,366.388,108.92,3.381,2.0,6.0,4.0,0.0,2.403,0.0,0.079,0.143,GFOSLCYMVIKVRE-UHFFFAOYSA-N,c1ccc(-c2c(-c3nn[nH]n3)cccc2-c2ccccc2-c2nn[nH]n2)cc1,c1ccc(-c2c(-c3nn[nH]n3)cccc2-c2ccccc2-c2nn[nH]n2)cc1,c1ccc(-c2c(-c3nn[nH]n3)cccc2-c2ccccc2-c2nn[nH]n2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0017_gnina_poses.sdf,c1ccc(-c2c(-c3nn[nH]n3)cccc2-c2ccccc2-c2nn[nH]n2)cc1,c1ccc(-c2c(-c3nn[nH]n3)cccc2-c2ccccc2-c2nn[nH]n2)cc1,C1CCC(C2C(C3CCCC3)CCCC2C2CCCCC2C2CCCC2)CC1,ok,true,ok,98,true,false,98,
141,FXIA-GEN-002194,0005,reinvent_denovo,-9.19494,0.9688063264,7.3860535622,7.1556553841,453.514,87.74,3.348,2.0,4.0,8.0,0.0,3.184,0.0,0.139,0.193,BKXKFTWHSSWFCH-UHFFFAOYSA-N,O=C(CN1C(=O)NC2(c3ccccc3)CCCCC2C1=O)NCCCOc1ccc(F)cc1,O=C(CN1C(=O)NC2(c3ccccc3)CCCCC2C1=O)NCCCOc1ccc(F)cc1,O=C(CN1C(=O)NC2(c3ccccc3)CCCCC2C1=O)NCCCOc1ccc(F)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0005_gnina_poses.sdf,O=C(CN1C(=O)NC2(c3ccccc3)CCCCC2C1=O)NCCCOc1ccc(F)cc1,O=C(CN1C(=O)NC2(c3ccccc3)CCCCC2C1=O)NCCCOc1ccccc1,CC(CCCCCC1CCCCC1)CC1C(C)CC2(C3CCCCC3)CCCCC2C1C,ok,true,ok,99,true,false,99,
142,FXIA-GEN-018043,0037,reinvent_denovo,-7.50537,0.9687901735,6.4902873039,6.2877264023,448.453,133.18,2.536,1.0,10.0,8.0,0.0,2.36,0.0,0.138,0.138,MPARETHMEMZAPG-UHFFFAOYSA-N,COC(=O)c1sc(NC(=O)COC(=O)c2cc(OC)c(OC)c(OC)c2)c(C#N)c1C,COC(=O)c1sc(NC(=O)COC(=O)c2cc(OC)c(OC)c(OC)c2)c(C#N)c1C,COC(=O)c1sc(NC(=O)COC(=O)c2cc(OC)c(OC)c(OC)c2)c(C#N)c1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0037_gnina_poses.sdf,COC(=O)c1sc(NC(=O)COC(=O)c2cc(OC)c(OC)c(OC)c2)c(C#N)c1C,O=C(COC(=O)c1ccccc1)Nc1cccs1,CC(CCC(C)C1CCCCC1)CC1CCCC1,ok,true,ok,100,true,false,100,
145,FXIA-GEN-014159,0029,linkinvent,-8.41258,0.9686962366,6.9834618568,6.7648530006,398.446,114.85,1.496,2.0,7.0,8.0,0.0,2.84,0.0,0.136,0.24,KCLTUULTEOKYFK-UHFFFAOYSA-N,CN(CCc1ccc(F)cc1)C(=O)CCNc1ncnc(N)c1-c1cnnn1C,CN(CCc1ccc(F)cc1)C(=O)CCNc1ncnc(N)c1-c1cnnn1C,CN(CCc1ccc(F)cc1)C(=O)CCNc1ncnc(N)c1-c1cnnn1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0029_gnina_poses.sdf,CN(CCc1ccc(F)cc1)C(=O)CCNc1ncnc(N)c1-c1cnnn1C,O=C(CCNc1ncncc1-c1cnn[nH]1)NCCc1ccccc1,CC(CCCC1CCCCC1)CCCC1CCCCC1C1CCCC1,ok,true,ok,101,true,false,101,
147,FXIA-GEN-013184,0027,reinvent_denovo,-7.49035,0.9685560465,5.9252567291,5.7389431,351.399,72.47,2.183,1.0,4.0,7.0,0.0,2.356,0.0,0.158,0.163,JLOCQTNPHYQVAA-UHFFFAOYSA-N,CC(C(=O)NCCOc1ccc(F)cc1)S(=O)(=O)c1ccccc1,CC(C(=O)NCCOc1ccc(F)cc1)S(=O)(=O)c1ccccc1,CC(C(=O)NCCOc1ccc(F)cc1)S(=O)(=O)c1ccccc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0027_gnina_poses.sdf,CC(C(=O)NCCOc1ccc(F)cc1)S(=O)(=O)c1ccccc1,O=C(CS(=O)(=O)c1ccccc1)NCCOc1ccccc1,CC(CCCCC1CCCCC1)CC(C)(C)C1CCCCC1,ok,true,ok,102,true,false,102,
148,FXIA-GEN-033081,0067,reinvent_denovo,-8.51615,0.9685468078,6.5750527382,6.3682465553,357.414,71.86,1.222,1.0,5.0,4.0,0.0,3.292,0.0,0.138,0.158,XAORAEZMMOHAID-UHFFFAOYSA-N,CN(Cc1cnn(C)c1)C1CNC(=O)N(c2ccc3c(c2)OCCO3)C1,CN(Cc1cnn(C)c1)C1CNC(=O)N(c2ccc3c(c2)OCCO3)C1,CN(Cc1cnn(C)c1)C1CNC(=O)N(c2ccc3c(c2)OCCO3)C1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0067_gnina_poses.sdf,CN(Cc1cnn(C)c1)C1CNC(=O)N(c2ccc3c(c2)OCCO3)C1,O=C1NCC(NCc2cn[nH]c2)CN1c1ccc2c(c1)OCCO2,CC1CCC(CCC2CCCC2)CC1C1CCC2CCCCC2C1,ok,true,ok,103,true,false,103,
149,FXIA-GEN-023389,0047,reinvent_denovo,-8.22542,0.9684569836,6.3402037621,6.1402144432,392.48,67.43,4.678,2.0,4.0,7.0,0.0,1.702,0.0,0.167,0.196,QCZIVKZCBYBWTN-UHFFFAOYSA-N,COc1ccc(C(=O)Nc2cccc(SCC(=O)Nc3ccccc3)c2)cc1,COc1ccc(C(=O)Nc2cccc(SCC(=O)Nc3ccccc3)c2)cc1,COc1ccc(C(=O)Nc2cccc(SCC(=O)Nc3ccccc3)c2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0047_gnina_poses.sdf,COc1ccc(C(=O)Nc2cccc(SCC(=O)Nc3ccccc3)c2)cc1,O=C(CSc1cccc(NC(=O)c2ccccc2)c1)Nc1ccccc1,CC(CCC1CCCC(CC(C)C2CCCCC2)C1)CC1CCCCC1,ok,true,ok,104,true,false,104,
150,FXIA-GEN-018456,0037,reinvent_denovo,-7.89595,0.9682638645,6.9654307365,6.744374752,436.917,94.59,4.036,1.0,7.0,6.0,0.0,2.811,0.0,0.175,0.217,MWAPUXVZTYMCKE-UHFFFAOYSA-N,CCOC(=O)c1c(NC(=O)C(C)OC(=O)c2ccnc(Cl)c2)sc2c1CCCC2,CCOC(=O)c1c(NC(=O)C(C)OC(=O)c2ccnc(Cl)c2)sc2c1CCCC2,CCOC(=O)c1c(NC(=O)C(C)OC(=O)c2ccnc(Cl)c2)sc2c1CCCC2,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0037_gnina_poses.sdf,CCOC(=O)c1c(NC(=O)C(C)OC(=O)c2ccnc(Cl)c2)sc2c1CCCC2,O=C(COC(=O)c1ccncc1)Nc1cc2c(s1)CCCC2,CC(CCC(C)C1CCCCC1)CC1CC2CCCCC2C1,ok,true,ok,105,true,false,105,
153,FXIA-GEN-018814,0038,reinvent_denovo,-8.41635,0.968108654,6.3828158379,6.1792593002,362.813,90.65,3.162,2.0,4.0,6.0,0.0,2.328,0.0,0.22,0.22,NCEAGLGRSQRFQU-UHFFFAOYSA-N,COc1cc(C)ccc1OC(C)C(=O)Nc1ccc(C(N)=O)cc1Cl,COc1cc(C)ccc1OC(C)C(=O)Nc1ccc(C(N)=O)cc1Cl,COc1cc(C)ccc1OC(C)C(=O)Nc1ccc(C(N)=O)cc1Cl,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0038_gnina_poses.sdf,COc1cc(C)ccc1OC(C)C(=O)Nc1ccc(C(N)=O)cc1Cl,O=C(COc1ccccc1)Nc1ccccc1,CC(CCC1CCCCC1)CC1CCCCC1,ok,true,ok,106,true,false,106,
154,FXIA-GEN-024142,0049,linkinvent,-8.65053,0.9680743217,6.898411274,6.6781749725,378.407,69.04,2.34,1.0,4.0,5.0,0.0,2.619,0.0,0.191,0.248,QPCHORRLLXWPOV-UHFFFAOYSA-N,COc1cc(-c2cnnn2C)ccc1CC(=O)NCC#Cc1ccc(F)cc1,COc1cc(-c2cnnn2C)ccc1CC(=O)NCC#Cc1ccc(F)cc1,COc1cc(-c2cnnn2C)ccc1CC(=O)NCC#Cc1ccc(F)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0049_gnina_poses.sdf,COc1cc(-c2cnnn2C)ccc1CC(=O)NCC#Cc1ccc(F)cc1,O=C(Cc1ccc(-c2cnn[nH]2)cc1)NCC#Cc1ccccc1,CC(CCCCC1CCCCC1)CC1CCC(C2CCCC2)CC1,ok,true,ok,107,true,false,107,
155,FXIA-GEN-027337,0055,reinvent_denovo,-8.55931,0.9679639339,6.1684374809,5.9708251953,384.432,95.94,3.333,2.0,4.0,8.0,0.0,2.062,0.0,0.117,0.223,SPWGOMLHFRTZEL-UHFFFAOYSA-N,CCN(CCOC(=O)Nc1ccc(C(=O)O)cc1C)C(=O)Cc1ccccc1,CCN(CCOC(=O)Nc1ccc(C(=O)O)cc1C)C(=O)Cc1ccccc1,CCN(CCOC(=O)Nc1ccc(C(=O)O)cc1C)C(=O)Cc1ccccc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0055_gnina_poses.sdf,CCN(CCOC(=O)Nc1ccc(C(=O)O)cc1C)C(=O)Cc1ccccc1,O=C(Cc1ccccc1)NCCOC(=O)Nc1ccccc1,CC(CCCCC(C)CC1CCCCC1)CC1CCCCC1,ok,true,ok,108,true,false,108,
156,FXIA-GEN-026332,0053,reinvent_denovo,-7.72525,0.9679598212,6.548309803,6.3385009766,410.493,64.68,2.474,2.0,4.0,7.0,0.0,1.945,0.0,0.125,0.188,RZIOVIZCGBNQDG-UHFFFAOYSA-N,O=C(CN1CCN(Cc2cccc(F)c2)CC1)Nc1ccccc1C(=O)NC1CC1,O=C(CN1CCN(Cc2cccc(F)c2)CC1)Nc1ccccc1C(=O)NC1CC1,O=C(CN1CCN(Cc2cccc(F)c2)CC1)Nc1ccccc1C(=O)NC1CC1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0053_gnina_poses.sdf,O=C(CN1CCN(Cc2cccc(F)c2)CC1)Nc1ccccc1C(=O)NC1CC1,O=C(CN1CCN(Cc2ccccc2)CC1)Nc1ccccc1C(=O)NC1CC1,CC(CC1CCC(CC2CCCCC2)CC1)CC1CCCCC1C(C)CC1CC1,ok,true,ok,109,true,false,109,
157,FXIA-GEN-002577,0006,reinvent_denovo,-7.41511,0.9678510427,6.7568268776,6.5396018028,392.5,104.39,3.041,2.0,5.0,5.0,0.0,3.577,0.0,0.113,0.185,BRQACSLZKRZZON-UHFFFAOYSA-N,CCOC(=O)c1c(NC(=O)C(=O)N2CCCC2(C)CCC(C)(C)C)n[nH]c1C,CCOC(=O)c1c(NC(=O)C(=O)N2CCCC2(C)CCC(C)(C)C)n[nH]c1C,CCOC(=O)c1c(NC(=O)C(=O)N2CCCC2(C)CCC(C)(C)C)n[nH]c1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0006_gnina_poses.sdf,CCOC(=O)c1c(NC(=O)C(=O)N2CCCC2(C)CCC(C)(C)C)n[nH]c1C,O=C(Nc1cc[nH]n1)C(=O)N1CCCC1,CC(CC1CCCC1)C(C)C1CCCC1,ok,true,ok,110,true,false,110,
158,FXIA-GEN-033615,0068,reinvent_denovo,-7.53981,0.9678213596,5.7381477356,5.5535020828,357.362,90.93,2.586,1.0,6.0,6.0,0.0,1.81,0.0,0.18,0.18,XJNHYDPHROCFPX-UHFFFAOYSA-N,COC(=O)c1ccccc1NC(=O)COC(=O)c1ccc(C)cc1OC,COC(=O)c1ccccc1NC(=O)COC(=O)c1ccc(C)cc1OC,COC(=O)c1ccccc1NC(=O)COC(=O)c1ccc(C)cc1OC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0068_gnina_poses.sdf,COC(=O)c1ccccc1NC(=O)COC(=O)c1ccc(C)cc1OC,O=C(COC(=O)c1ccccc1)Nc1ccccc1,CC(CCC(C)C1CCCCC1)CC1CCCCC1,ok,true,ok,111,true,false,111,
160,FXIA-GEN-000178,0001,reinvent_denovo,-9.68244,0.9675225019,7.3150210381,7.0774474144,457.556,87.22,4.145,2.0,7.0,6.0,0.0,2.893,0.0,0.156,0.195,ACYJRSILMMUXPG-UHFFFAOYSA-N,CC1CC(=O)Nc2ccccc2N1C(=O)CSc1nnc(NCc2ccc(F)cc2)s1,CC1CC(=O)Nc2ccccc2N1C(=O)CSc1nnc(NCc2ccc(F)cc2)s1,CC1CC(=O)Nc2ccccc2N1C(=O)CSc1nnc(NCc2ccc(F)cc2)s1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0001_gnina_poses.sdf,CC1CC(=O)Nc2ccccc2N1C(=O)CSc1nnc(NCc2ccc(F)cc2)s1,O=C1CCN(C(=O)CSc2nnc(NCc3ccccc3)s2)c2ccccc2N1,CC1CCC(C(C)CCC2CCC(CCC3CCCCC3)C2)C2CCCCC2C1,ok,true,ok,112,true,false,112,
161,FXIA-GEN-009638,0020,reinvent_denovo,-7.95735,0.9674850106,7.2260699272,6.9911141396,466.003,87.74,3.047,2.0,5.0,8.0,0.0,3.084,0.0,0.149,0.184,HEBIXYGGYYUOET-UHFFFAOYSA-N,CC(C)C(C)NC(=O)CN1CC(CNS(=O)(=O)c2ccc(Cl)cc2)Oc2ccccc21,CC(C)C(C)NC(=O)CN1CC(CNS(=O)(=O)c2ccc(Cl)cc2)Oc2ccccc21,CC(C)C(C)NC(=O)CN1CC(CNS(=O)(=O)c2ccc(Cl)cc2)Oc2ccccc21,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0020_gnina_poses.sdf,CC(C)C(C)NC(=O)CN1CC(CNS(=O)(=O)c2ccc(Cl)cc2)Oc2ccccc21,O=S(=O)(NCC1CNc2ccccc2O1)c1ccccc1,CC(C)(CCC1CCC2CCCCC2C1)C1CCCCC1,ok,true,ok,113,true,false,113,
162,FXIA-GEN-018989,0038,linkinvent,-8.22429,0.9673728943,6.8228082657,6.6001996994,374.857,99.58,2.717,1.0,7.0,6.0,0.0,2.795,0.0,0.134,0.242,NFCXGYPBPPRCLG-UHFFFAOYSA-N,Nc1nc(SCCCc2ccccc2)c(C(=O)n2cnnn2)cc1Cl,Nc1nc(SCCCc2ccccc2)c(C(=O)n2cnnn2)cc1Cl,Nc1nc(SCCCc2ccccc2)c(C(=O)n2cnnn2)cc1Cl,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0038_gnina_poses.sdf,Nc1nc(SCCCc2ccccc2)c(C(=O)n2cnnn2)cc1Cl,O=C(c1cccnc1SCCCc1ccccc1)n1cnnn1,CC(C1CCCC1)C1CCCCC1CCCCC1CCCCC1,ok,true,ok,114,true,false,114,
163,FXIA-GEN-013683,0028,reinvent_denovo,-8.47516,0.9673451185,6.3847203255,6.1762280464,367.818,133.22,1.567,3.0,8.0,5.0,0.0,2.988,0.0,0.258,0.258,JURRFDRUFAGCSU-UHFFFAOYSA-N,COC(=O)C(Sc1nc(N)cc(N)n1)C(=O)Nc1ccc(Cl)cc1,COC(=O)C(Sc1nc(N)cc(N)n1)C(=O)Nc1ccc(Cl)cc1,COC(=O)C(Sc1nc(N)cc(N)n1)C(=O)Nc1ccc(Cl)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0028_gnina_poses.sdf,COC(=O)C(Sc1nc(N)cc(N)n1)C(=O)Nc1ccc(Cl)cc1,O=C(CSc1ncccn1)Nc1ccccc1,CC(CCC1CCCCC1)CC1CCCCC1,ok,true,ok,115,true,false,115,
164,FXIA-GEN-031367,0063,reinvent_denovo,-8.02645,0.9671949148,6.455183506,6.2434206009,388.851,78.87,2.609,2.0,4.0,6.0,0.0,2.71,0.0,0.243,0.243,VYMURXOLSBUMAD-UHFFFAOYSA-N,CCN1C(=O)C(O)(CC(=O)NCc2ccccc2OC)c2cc(Cl)ccc21,CCN1C(=O)C(O)(CC(=O)NCc2ccccc2OC)c2cc(Cl)ccc21,CCN1C(=O)C(O)(CC(=O)NCc2ccccc2OC)c2cc(Cl)ccc21,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0063_gnina_poses.sdf,CCN1C(=O)C(O)(CC(=O)NCc2ccccc2OC)c2cc(Cl)ccc21,O=C(CC1C(=O)Nc2ccccc21)NCc1ccccc1,CC(CCC1CCCCC1)CC1C(C)CC2CCCCC21,ok,true,ok,116,true,false,116,
165,FXIA-GEN-017862,0036,reinvent_denovo,-8.10714,0.9671692252,6.6686053276,6.449669838,407.448,127.64,2.446,2.0,6.0,7.0,0.0,2.17,0.0,0.171,0.171,MMEHCCDPUBCURY-UHFFFAOYSA-N,COc1cc(C)c(C)cc1NC(=O)CNS(=O)(=O)c1ccc(C)c([N+](=O)[O-])c1,COc1cc(C)c(C)cc1NC(=O)CNS(=O)(=O)c1ccc(C)c([N+](=O)[O-])c1,COc1cc(C)c(C)cc1NC(=O)CNS(=O)(=O)c1ccc(C)c([N+](=O)[O-])c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0036_gnina_poses.sdf,COc1cc(C)c(C)cc1NC(=O)CNS(=O)(=O)c1ccc(C)c([N+](=O)[O-])c1,O=C(CNS(=O)(=O)c1ccccc1)Nc1ccccc1,CC(CCC(C)(C)C1CCCCC1)CC1CCCCC1,ok,true,ok,117,true,false,117,
168,FXIA-GEN-017767,0036,reinvent_denovo,-8.13974,0.9669079185,6.3565759659,6.1462235451,365.433,72.7,3.053,1.0,4.0,6.0,0.0,2.579,0.0,0.164,0.164,MKQRHWYLZQMWDP-UHFFFAOYSA-N,COc1ccc(CCNC(=O)c2cc3c(C=O)c(C)cc(C)n3n2)cc1C,COc1ccc(CCNC(=O)c2cc3c(C=O)c(C)cc(C)n3n2)cc1C,COc1ccc(CCNC(=O)c2cc3c(C=O)c(C)cc(C)n3n2)cc1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0036_gnina_poses.sdf,COc1ccc(CCNC(=O)c2cc3c(C=O)c(C)cc(C)n3n2)cc1C,O=C(NCCc1ccccc1)c1cc2ccccn2n1,CC(CCCC1CCCCC1)C1CC2CCCCC2C1,ok,true,ok,118,true,false,118,
169,FXIA-GEN-026947,0054,reinvent_denovo,-9.13206,0.9668529034,6.479279995,6.2645106316,382.46,84.5,3.32,2.0,4.0,6.0,0.0,1.956,0.0,0.147,0.163,SJKKALLLNVNNBA-UHFFFAOYSA-N,CC(=O)c1ccc(NC(=O)C(=O)NCCOc2ccc(C(C)(C)C)cc2)cc1,CC(=O)c1ccc(NC(=O)C(=O)NCCOc2ccc(C(C)(C)C)cc2)cc1,CC(=O)c1ccc(NC(=O)C(=O)NCCOc2ccc(C(C)(C)C)cc2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0054_gnina_poses.sdf,CC(=O)c1ccc(NC(=O)C(=O)NCCOc2ccc(C(C)(C)C)cc2)cc1,O=C(NCCOc1ccccc1)C(=O)Nc1ccccc1,CC(CCCCC1CCCCC1)C(C)CC1CCCCC1,ok,true,ok,119,true,false,119,
170,FXIA-GEN-015655,0032,reinvent_denovo,-7.96716,0.9665598869,6.3940558434,6.1802377701,370.623,70.56,3.736,2.0,3.0,3.0,0.0,2.0,0.0,0.162,0.178,LBHMRXWXUDNKFU-UHFFFAOYSA-N,O=C(NN=Cc1ccc(Cl)c(Cl)c1)C(=O)Nc1cccc(Cl)c1,O=C(NN=Cc1ccc(Cl)c(Cl)c1)C(=O)Nc1cccc(Cl)c1,O=C(NN=Cc1ccc(Cl)c(Cl)c1)C(=O)Nc1cccc(Cl)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0032_gnina_poses.sdf,O=C(NN=Cc1ccc(Cl)c(Cl)c1)C(=O)Nc1cccc(Cl)c1,O=C(NN=Cc1ccccc1)C(=O)Nc1ccccc1,CC(CCCC1CCCCC1)C(C)CC1CCCCC1,ok,true,ok,120,true,false,120,
172,FXIA-GEN-000949,0002,linkinvent,-8.54383,0.9665260315,7.3879299164,7.1406264305,460.446,114.66,3.666,0.0,9.0,8.0,0.0,2.629,0.0,0.168,0.245,APQWHBAICCCRGU-UHFFFAOYSA-N,COc1ccc(C(=O)COc2cccc(-c3ccccc3)c2)c(OC(=O)n2cnnn2)c1OC,COc1ccc(C(=O)COc2cccc(-c3ccccc3)c2)c(OC(=O)n2cnnn2)c1OC,COc1ccc(C(=O)COc2cccc(-c3ccccc3)c2)c(OC(=O)n2cnnn2)c1OC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0002_gnina_poses.sdf,COc1ccc(C(=O)COc2cccc(-c3ccccc3)c2)c(OC(=O)n2cnnn2)c1OC,O=C(COc1cccc(-c2ccccc2)c1)c1ccccc1OC(=O)n1cnnn1,CC(CC1CCCCC1C(C)CCC1CCCC(C2CCCCC2)C1)C1CCCC1,ok,true,ok,121,true,false,121,
173,FXIA-GEN-030934,0062,reinvent_denovo,-7.79266,0.9665233493,6.7793240547,6.5523748398,386.498,81.75,3.581,1.0,6.0,7.0,0.0,2.962,0.0,0.118,0.162,VRBSGPJMVHEBIM-UHFFFAOYSA-N,CC(=O)c1cccc(C=NOC(=O)C(C)Sc2ccc(C(N)=S)cc2)c1,CC(=O)c1cccc(C=NOC(=O)C(C)Sc2ccc(C(N)=S)cc2)c1,CC(=O)c1cccc(C=NOC(=O)C(C)Sc2ccc(C(N)=S)cc2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0062_gnina_poses.sdf,CC(=O)c1cccc(C=NOC(=O)C(C)Sc2ccc(C(N)=S)cc2)c1,O=C(CSc1ccccc1)ON=Cc1ccccc1,CC(CCCC1CCCCC1)CCC1CCCCC1,ok,true,ok,122,true,false,122,
