candidate_id,smiles,docking_rank,source_models,cnn_score,cnn_affinity,minimized_affinity_kcal_mol,mw,tpsa,clogp,hbd,hba,rotatable_bonds,formal_charge,sa_score,lipinski_rule_of_five_violations,max_clinical_similarity,max_patent_proxy_similarity,murcko_scaffold,generic_murcko_scaffold,ecfp_cluster_id,pose_qc_pass,pose_qc_flags,parent_inchi_key,parent_smiles,pose_sdf
FXIA-GEN-019830,Nc1cc(S(=O)(=O)CCSc2ccc(Br)cc2)ccc1Cl,176,reinvent_denovo,0.9664818048,6.3281989098,-7.29783,406.754,60.16,4.251,1.0,4.0,5.0,0.0,2.216,0.0,0.097,0.14,O=S(=O)(CCSc1ccccc1)c1ccccc1,CC(C)(CCCC1CCCCC1)C1CCCCC1,125,true,ok,NSQRNBZCNAHLEN-UHFFFAOYSA-N,Nc1cc(S(=O)(=O)CCSc2ccc(Br)cc2)ccc1Cl,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0040_gnina_poses.sdf
FXIA-GEN-006360,CCc1ccc(C2(C(=O)Nc3nnc(-c4ccncc4)s3)CSC2)cc1,178,reinvent_denovo,0.9662905335,6.6599240303,-8.64823,382.514,67.77,3.786,1.0,6.0,5.0,0.0,2.667,0.0,0.121,0.164,O=C(Nc1nnc(-c2ccncc2)s1)C1(c2ccccc2)CSC1,CC(CC1CCC(C2CCCCC2)C1)C1(C2CCCCC2)CCC1,126,true,ok,FCCBFWKLTANQEE-UHFFFAOYSA-N,CCc1ccc(C2(C(=O)Nc3nnc(-c4ccncc4)s3)CSC2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0013_gnina_poses.sdf
FXIA-GEN-021289,Cc1cc(F)ccc1S(=O)(=O)CC1CC(=O)c2c(cccc2C(N)=O)C1,179,reinvent_denovo,0.9662528038,6.5928034782,-9.47164,375.421,94.3,2.452,1.0,4.0,4.0,0.0,3.034,0.0,0.156,0.167,O=C1CC(CS(=O)(=O)c2ccccc2)Cc2ccccc21,CC1CC(CC(C)(C)C2CCCCC2)CC2CCCCC12,127,true,ok,OSEMOYJGQQVNMO-UHFFFAOYSA-N,Cc1cc(F)ccc1S(=O)(=O)CC1CC(=O)c2c(cccc2C(N)=O)C1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0043_gnina_poses.sdf
FXIA-GEN-027768,NC(=O)[C@@H](CC1CCC(O)CC1)c1ccc(-c2ccccc2Cl)c[n+]1[O-],180,mol2mol,0.9662272334,6.3801236153,-8.3196,374.868,90.26,3.151,2.0,3.0,5.0,0.0,3.34,0.0,0.127,0.45,c1ccc(-c2ccc(CCC3CCCCC3)[nH+]c2)cc1,C1CCC(CCC2CCC(C3CCCCC3)CC2)CC1,128,true,ok,SXHGKRYDOMZGBW-PGEKIEPBSA-N,NC(=O)[C@@H](CC1CCC(O)CC1)c1ccc(-c2ccccc2Cl)c[n+]1[O-],results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0056_gnina_poses.sdf
FXIA-GEN-002165,O=C(O)c1cc(F)cc(NC(=O)C(CO)c2ccc(-c3cc(Cl)ccc3C(F)F)c[n+]2[O-])c1,181,mol2mol,0.9660603404,7.0082631111,-10.03973,480.826,113.57,4.13,3.0,4.0,7.0,0.0,3.484,0.0,0.216,0.488,O=C(Cc1ccc(-c2ccccc2)c[nH+]1)Nc1ccccc1,CC(CC1CCCCC1)CC1CCC(C2CCCCC2)CC1,129,true,ok,BKIXUGQSMDUQFW-UHFFFAOYSA-N,O=C(O)c1cc(F)cc(NC(=O)C(CO)c2ccc(-c3cc(Cl)ccc3C(F)F)c[n+]2[O-])c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0005_gnina_poses.sdf
FXIA-GEN-025363,COc1ccc(CCNC(=O)c2ccc(OC)c(S(=O)(=O)NCc3cccnc3)c2)cc1,183,reinvent_denovo,0.9660150409,7.1768054962,-8.25558,455.536,106.62,2.55,2.0,6.0,10.0,0.0,2.064,0.0,0.148,0.151,O=C(NCCc1ccccc1)c1cccc(S(=O)(=O)NCc2cccnc2)c1,CC(CCCC1CCCCC1)C1CCCC(C(C)(C)CCC2CCCCC2)C1,130,true,ok,RJFXJQMNVLEPPM-UHFFFAOYSA-N,COc1ccc(CCNC(=O)c2ccc(OC)c(S(=O)(=O)NCc3cccnc3)c2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0051_gnina_poses.sdf
FXIA-GEN-025146,O=C(COC(=O)CN1CCCCCC1=O)Nc1cc(Cl)c(Cl)cc1Cl,184,reinvent_denovo,0.9659446478,6.838326931,-8.42278,407.681,75.71,3.531,1.0,4.0,5.0,0.0,2.165,0.0,0.154,0.202,O=C(COC(=O)CN1CCCCCC1=O)Nc1ccccc1,CC(CCC(C)CC1CCCCCC1C)CC1CCCCC1,131,true,ok,RFSFMQQFBGNHAA-UHFFFAOYSA-N,O=C(COC(=O)CN1CCCCCC1=O)Nc1cc(Cl)c(Cl)cc1Cl,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0051_gnina_poses.sdf
FXIA-GEN-015061,Cc1noc(COC(=O)c2c(Oc3ccccc3)oc3ccccc3c2=O)c1C(=O)NCC1CC1,186,reinvent_denovo,0.9658737779,6.8697838783,-8.6763,474.469,120.87,4.379,1.0,8.0,8.0,0.0,2.808,0.0,0.106,0.155,O=C(NCC1CC1)c1cnoc1COC(=O)c1c(Oc2ccccc2)oc2ccccc2c1=O,CC(CCC1CC1)C1CCCC1CCC(C)C1C(CC2CCCCC2)CC2CCCCC2C1C,132,true,ok,KRUZYLNITQNDLP-UHFFFAOYSA-N,Cc1noc(COC(=O)c2c(Oc3ccccc3)oc3ccccc3c2=O)c1C(=O)NCC1CC1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0031_gnina_poses.sdf
FXIA-GEN-030202,N#Cc1cccc(Oc2ccc(Cl)cc2S(=O)(=O)NC2CCCCNC2=O)c1,187,reinvent_denovo,0.9658463001,6.9737010002,-8.65193,419.89,108.29,2.951,2.0,5.0,5.0,0.0,2.88,0.0,0.164,0.239,O=C1NCCCCC1NS(=O)(=O)c1ccccc1Oc1ccccc1,CC1CCCCCC1CC(C)(C)C1CCCCC1CC1CCCCC1,133,true,ok,VEUVNFHLBZOHAT-UHFFFAOYSA-N,N#Cc1cccc(Oc2ccc(Cl)cc2S(=O)(=O)NC2CCCCNC2=O)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0061_gnina_poses.sdf
FXIA-GEN-003237,COc1ccc(OC)c(NC(=O)C2CCCN(Cc3ccc4c(c3)OCO4)C2)c1,188,reinvent_denovo,0.9657909274,6.4396080971,-8.58109,398.459,69.26,3.283,1.0,6.0,6.0,0.0,2.513,0.0,0.148,0.168,O=C(Nc1ccccc1)C1CCCN(Cc2ccc3c(c2)OCO3)C1,CC(CC1CCCCC1)C1CCCC(CC2CCC3CCCC3C2)C1,134,true,ok,CCBIIABRLHPGOJ-UHFFFAOYSA-N,COc1ccc(OC)c(NC(=O)C2CCCN(Cc3ccc4c(c3)OCO4)C2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0007_gnina_poses.sdf
FXIA-GEN-006545,COc1ccc(Cl)cc1NC(=O)CN(C)CC(=O)Nc1c(C)cccc1C,190,reinvent_denovo,0.9656498432,6.280359745,-7.95808,389.883,70.67,3.474,2.0,4.0,7.0,0.0,1.955,0.0,0.214,0.214,O=C(CNCC(=O)Nc1ccccc1)Nc1ccccc1,CC(CCCC(C)CC1CCCCC1)CC1CCCCC1,135,true,ok,FFCZXRHKZYIOLR-UHFFFAOYSA-N,COc1ccc(Cl)cc1NC(=O)CN(C)CC(=O)Nc1c(C)cccc1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0014_gnina_poses.sdf
FXIA-GEN-025444,COc1ccc(OC)c(NC(=O)CCc2ncc(-c3ccccc3)o2)c1,191,reinvent_denovo,0.9656324983,6.2945332527,-8.50321,352.39,73.59,3.93,1.0,5.0,7.0,0.0,1.943,0.0,0.157,0.162,O=C(CCc1ncc(-c2ccccc2)o1)Nc1ccccc1,CC(CCC1CCC(C2CCCCC2)C1)CC1CCCCC1,136,true,ok,RKXVPZWGZPSCJZ-UHFFFAOYSA-N,COc1ccc(OC)c(NC(=O)CCc2ncc(-c3ccccc3)o2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0051_gnina_poses.sdf
FXIA-GEN-027516,Cc1ccc(NC(=O)c2cccc(NN)c2Cl)cc1Br,192,reinvent_denovo,0.9655309319,6.0625891685,-7.67453,354.635,67.15,3.949,3.0,3.0,3.0,0.0,2.114,0.0,0.172,0.183,O=C(Nc1ccccc1)c1ccccc1,CC(CC1CCCCC1)C1CCCCC1,137,true,ok,SSXNAIFGYKSLGS-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2cccc(NN)c2Cl)cc1Br,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0056_gnina_poses.sdf
FXIA-GEN-036584,Cc1cc(Br)c(NC(=O)COC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1Cl,194,reinvent_denovo,0.9652704,6.7768092155,-8.20164,462.083,98.54,4.768,1.0,5.0,5.0,0.0,2.152,0.0,0.136,0.186,O=C(COC(=O)c1ccccc1)Nc1ccccc1,CC(CCC(C)C1CCCCC1)CC1CCCCC1,138,true,ok,ZGSJDDGNYDKJCK-UHFFFAOYSA-N,Cc1cc(Br)c(NC(=O)COC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1Cl,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0074_gnina_poses.sdf
FXIA-GEN-004982,O=C(O)CCC1CCCN(C(=O)c2ccccc2CSc2cn[nH]n2)C1,195,reinvent_denovo,0.9652606249,6.7601356506,-7.41972,374.466,99.18,2.814,2.0,5.0,7.0,0.0,2.966,0.0,0.098,0.138,O=C(c1ccccc1CSc1cn[nH]n1)N1CCCCC1,CC(C1CCCCC1)C1CCCCC1CCC1CCCC1,139,true,ok,DFRQVWCZYRFFSI-UHFFFAOYSA-N,O=C(O)CCC1CCCN(C(=O)c2ccccc2CSc2cn[nH]n2)C1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0010_gnina_poses.sdf
FXIA-GEN-031531,O=C(CCC(=O)c1ccccc1)Nc1sc2c(c1C(=O)N1CCCCC1)CCC2,196,reinvent_denovo,0.9651929736,6.7030649185,-7.95808,410.539,66.48,4.465,1.0,4.0,6.0,0.0,2.171,0.0,0.097,0.173,O=C(CCC(=O)c1ccccc1)Nc1sc2c(c1C(=O)N1CCCCC1)CCC2,CC(CCC(C)C1CCCCC1)CC1CC2CCCC2C1C(C)C1CCCCC1,140,true,ok,WAYBMNGDSDUXES-UHFFFAOYSA-N,O=C(CCC(=O)c1ccccc1)Nc1sc2c(c1C(=O)N1CCCCC1)CCC2,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0064_gnina_poses.sdf
FXIA-GEN-006313,CN1Cc2cc(C#N)cc(Nc3cnn4cccc(C(=O)NCCO)c34)c2C1=O,197,reinvent_denovo,0.9651823044,6.7168488503,-8.60628,390.403,122.76,1.257,3.0,6.0,5.0,0.0,3.025,0.0,0.113,0.178,O=C1NCc2cccc(Nc3cnn4ccccc34)c21,CC1CCC2CCCC(CC3CCC4CCCCC43)C12,141,true,ok,FBDSKJGXKOTCLQ-UHFFFAOYSA-N,CN1Cc2cc(C#N)cc(Nc3cnn4cccc(C(=O)NCCO)c34)c2C1=O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0013_gnina_poses.sdf
FXIA-GEN-007587,CCC1(CC)C(=O)Nc2ccc(COC(=O)CC(=O)c3ccccc3)cc21,198,reinvent_denovo,0.9651587605,6.04519701,-8.02124,365.429,72.47,4.013,1.0,4.0,7.0,0.0,2.484,0.0,0.131,0.188,O=C1Cc2cc(COC(=O)CC(=O)c3ccccc3)ccc2N1,CC(CCC1CCC2CC(C)CC2C1)CC(C)C1CCCCC1,142,true,ok,FWQAUJWNYGCYCK-UHFFFAOYSA-N,CCC1(CC)C(=O)Nc2ccc(COC(=O)CC(=O)c3ccccc3)cc21,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0016_gnina_poses.sdf
FXIA-GEN-002169,CCOC(=O)c1sc(NC(=O)C(C)Oc2cccc(Cl)c2)nc1C,199,reinvent_denovo,0.9651373625,6.3701844215,-7.71279,368.842,77.52,3.688,1.0,6.0,6.0,0.0,2.514,0.0,0.19,0.211,O=C(COc1ccccc1)Nc1nccs1,CC(CCC1CCCCC1)CC1CCCC1,143,true,ok,BKJWFRCGSCPHMM-UHFFFAOYSA-N,CCOC(=O)c1sc(NC(=O)C(C)Oc2cccc(Cl)c2)nc1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0005_gnina_poses.sdf
FXIA-GEN-027580,Nc1cccc(S(=O)(=O)N(Cc2ccc(F)cc2)Cc2ccc(C(=O)O)cc2)c1,200,reinvent_denovo,0.9647963643,6.4546532631,-7.3606,414.458,100.7,3.497,2.0,4.0,7.0,0.0,2.028,0.0,0.114,0.187,O=S(=O)(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1,CC(C)(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,144,true,ok,SUARYLQJXTZDPZ-UHFFFAOYSA-N,Nc1cccc(S(=O)(=O)N(Cc2ccc(F)cc2)Cc2ccc(C(=O)O)cc2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0056_gnina_poses.sdf
FXIA-GEN-023269,CC(C)(C)OC(=O)N1COCC1C(=O)OCC1c2ccccc2-c2ccccc21,201,reinvent_denovo,0.9644896388,6.3676857948,-8.28324,395.455,65.07,3.936,0.0,5.0,3.0,0.0,3.036,0.0,0.119,0.154,O=C(OCC1c2ccccc2-c2ccccc21)C1COCN1,CC(CCC1C2CCCCC2C2CCCCC21)C1CCCC1,145,true,ok,QAZGOKWVXDVKSB-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1COCC1C(=O)OCC1c2ccccc2-c2ccccc21,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0047_gnina_poses.sdf
FXIA-GEN-006155,COc1ccc(OC)c(NC(=O)N2CCN(c3cc(C)nc4cc(C)nn34)CC2)c1,202,reinvent_denovo,0.9644534588,6.764102459,-9.6965,410.478,84.23,2.717,1.0,6.0,4.0,0.0,2.407,0.0,0.153,0.164,O=C(Nc1ccccc1)N1CCN(c2ccnc3ccnn23)CC1,CC(CC1CCCCC1)C1CCC(C2CCCC3CCCC32)CC1,146,true,ok,DYPPPQQILKMEKW-UHFFFAOYSA-N,COc1ccc(OC)c(NC(=O)N2CCN(c3cc(C)nc4cc(C)nn34)CC2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0013_gnina_poses.sdf
FXIA-GEN-033778,COC(=O)C(C(=O)c1ccc2c(c1)Cc1n[nH]nc1-2)c1cccc(C(=O)O)c1,203,reinvent_denovo,0.9644195437,6.4859099388,-8.74598,377.356,122.24,2.214,2.0,6.0,5.0,0.0,3.241,0.0,0.123,0.198,O=C(Cc1ccccc1)c1ccc2c(c1)Cc1n[nH]nc1-2,CC(CC1CCCCC1)C1CCC2C(C1)CC1CCCC12,147,true,ok,XMEBPQYNGPTGHT-UHFFFAOYSA-N,COC(=O)C(C(=O)c1ccc2c(c1)Cc1n[nH]nc1-2)c1cccc(C(=O)O)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0068_gnina_poses.sdf
FXIA-GEN-002758,N#Cc1ccc(S(=O)(=O)NCCC(O)(c2ccccc2)c2ccccc2)cc1,204,reinvent_denovo,0.9643072486,6.3071842194,-8.2288,392.48,90.19,3.163,2.0,4.0,7.0,0.0,2.21,0.0,0.087,0.134,O=S(=O)(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,CC(C)(CCCC(C1CCCCC1)C1CCCCC1)C1CCCCC1,148,true,ok,BUPBHAKELKDRDQ-UHFFFAOYSA-N,N#Cc1ccc(S(=O)(=O)NCCC(O)(c2ccccc2)c2ccccc2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0006_gnina_poses.sdf
FXIA-GEN-035249,COc1cccc(C)c1NS(=O)(=O)c1ccc(Br)c(N)c1,207,reinvent_denovo,0.9641535282,6.0683302879,-7.43978,371.256,81.42,3.149,2.0,4.0,4.0,0.0,2.113,0.0,0.15,0.15,O=S(=O)(Nc1ccccc1)c1ccccc1,CC(C)(CC1CCCCC1)C1CCCCC1,149,true,ok,YKTGROGWAPUIET-UHFFFAOYSA-N,COc1cccc(C)c1NS(=O)(=O)c1ccc(Br)c(N)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0071_gnina_poses.sdf
FXIA-GEN-014236,CC(NC(=O)c1nccnc1SCC(=O)O)c1nc(-c2ccccc2)no1,208,reinvent_denovo,0.9641081691,5.8970551491,-7.51456,385.405,131.1,2.194,2.0,8.0,7.0,0.0,2.957,0.0,0.117,0.173,O=C(NCc1nc(-c2ccccc2)no1)c1cnccn1,CC(CCC1CCC(C2CCCCC2)C1)C1CCCCC1,150,true,ok,KDSYVNBOIFOVOT-UHFFFAOYSA-N,CC(NC(=O)c1nccnc1SCC(=O)O)c1nc(-c2ccccc2)no1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0029_gnina_poses.sdf
FXIA-GEN-034074,CCOc1nccn2cc(CNC(=O)c3ccc(Cl)c(Cl)c3)nc12,209,reinvent_denovo,0.9640680552,6.303252697,-7.59142,365.22,68.52,3.365,1.0,4.0,5.0,0.0,2.395,0.0,0.157,0.182,O=C(NCc1cn2ccncc2n1)c1ccccc1,CC(CCC1CC2CCCCC2C1)C1CCCCC1,151,true,ok,XRCMSJBOTZJUCY-UHFFFAOYSA-N,CCOc1nccn2cc(CNC(=O)c3ccc(Cl)c(Cl)c3)nc12,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0069_gnina_poses.sdf
FXIA-GEN-013719,CNS(=O)(=O)c1ccc(C)cc1C(=O)OCC(=O)c1cc(C)n(Cc2ccco2)c1C,213,reinvent_denovo,0.9638043642,6.9093651772,-7.44678,444.509,107.61,3.002,1.0,6.0,8.0,0.0,2.479,0.0,0.109,0.126,O=C(COC(=O)c1ccccc1)c1ccn(Cc2ccco2)c1,CC(CCC(C)C1CCC(CC2CCCC2)C1)C1CCCCC1,152,true,ok,JVFBJMSFGAHYSK-UHFFFAOYSA-N,CNS(=O)(=O)c1ccc(C)cc1C(=O)OCC(=O)c1cc(C)n(Cc2ccco2)c1C,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0028_gnina_poses.sdf
FXIA-GEN-033319,NC(CCCCCn1ccc2ccc(NC3CC(c4cccc(Cl)c4F)=NO3)cc21)C(=O)O,215,linkinvent,0.9636197686,7.8452043533,-8.17687,472.948,101.87,4.969,3.0,5.0,10.0,0.0,3.707,0.0,0.169,0.398,c1ccc(C2=NOC(Nc3ccc4cc[nH]c4c3)C2)cc1,C1CCC(C2CCC(CC3CCC4CCCC4C3)C2)CC1,153,true,ok,XELJEFSZHDPRJR-UHFFFAOYSA-N,NC(CCCCCn1ccc2ccc(NC3CC(c4cccc(Cl)c4F)=NO3)cc21)C(=O)O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0067_gnina_poses.sdf
FXIA-GEN-022144,CC(=O)Nc1ccc(SCC(=O)Nc2ccc(CC(N)=O)cc2)cc1,216,reinvent_denovo,0.9635036588,6.170478344,-7.93252,357.435,101.29,2.404,3.0,4.0,7.0,0.0,1.867,0.0,0.155,0.168,O=C(CSc1ccccc1)Nc1ccccc1,CC(CCC1CCCCC1)CC1CCCCC1,154,true,ok,PHGYLPUENDWNEA-UHFFFAOYSA-N,CC(=O)Nc1ccc(SCC(=O)Nc2ccc(CC(N)=O)cc2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0045_gnina_poses.sdf
FXIA-GEN-011143,CCCC(NC(=O)c1cc2ccccc2s1)C(=O)C(=O)Nc1cccc(-c2cn[nH]c2)c1,217,reinvent_denovo,0.9634824395,7.1759619713,-8.3589,446.532,103.95,4.398,3.0,5.0,8.0,0.0,2.961,0.0,0.154,0.196,O=C(CNC(=O)c1cc2ccccc2s1)C(=O)Nc1cccc(-c2cn[nH]c2)c1,CC(CCC(C)C1CC2CCCCC2C1)C(C)CC1CCCC(C2CCCC2)C1,155,true,ok,IDKFPZOFDCJIGA-UHFFFAOYSA-N,CCCC(NC(=O)c1cc2ccccc2s1)C(=O)C(=O)Nc1cccc(-c2cn[nH]c2)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0023_gnina_poses.sdf
FXIA-GEN-036671,COc1ccc(N(CC(=O)NC(C)C)S(=O)(=O)c2cccc(Cl)c2)cc1,219,reinvent_denovo,0.9634339809,6.6033673286,-7.53065,396.896,75.71,3.069,1.0,4.0,7.0,0.0,2.001,0.0,0.183,0.186,O=S(=O)(Nc1ccccc1)c1ccccc1,CC(C)(CC1CCCCC1)C1CCCCC1,156,true,ok,ZIDNYPSDQQPQMT-UHFFFAOYSA-N,COc1ccc(N(CC(=O)NC(C)C)S(=O)(=O)c2cccc(Cl)c2)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0074_gnina_poses.sdf
FXIA-GEN-025258,CCOc1ccc(N2C(=O)CC(C(=O)Nc3cc(Cl)ccc3OC)C2=O)cc1,220,reinvent_denovo,0.963357389,6.1754179001,-8.29267,402.834,84.94,3.266,1.0,5.0,6.0,0.0,2.603,0.0,0.229,0.229,O=C(Nc1ccccc1)C1CC(=O)N(c2ccccc2)C1=O,CC(CC1CCCCC1)C1CC(C)C(C2CCCCC2)C1C,157,true,ok,RHNLBPDOSKSXIS-UHFFFAOYSA-N,CCOc1ccc(N2C(=O)CC(C(=O)Nc3cc(Cl)ccc3OC)C2=O)cc1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0051_gnina_poses.sdf
FXIA-GEN-024074,CCOc1cc2c(cc1C=C1SC(C(=O)c3ccco3)=C(O)C1=O)OC(C)C2,221,reinvent_denovo,0.9632992148,6.4259982109,-8.51211,398.436,85.97,4.311,1.0,7.0,5.0,0.0,3.492,0.0,0.106,0.147,O=C1C=C(C(=O)c2ccco2)SC1=Cc1ccc2c(c1)OCC2,CC1CC(C(C)C2CCCC2)CC1CC1CCC2CCCC2C1,158,true,ok,QNVVLGNXTSBOCH-UHFFFAOYSA-N,CCOc1cc2c(cc1C=C1SC(C(=O)c3ccco3)=C(O)C1=O)OC(C)C2,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0049_gnina_poses.sdf
FXIA-GEN-035805,CCOC(=O)CCN(CCNC(=O)Cc1ccc(OC)cc1)C(C)=O,222,reinvent_denovo,0.9632317424,6.0491147041,-6.51836,350.415,84.94,1.156,1.0,5.0,10.0,0.0,2.075,0.0,0.143,0.143,c1ccccc1,C1CCCCC1,159,true,ok,YTXHGAKZPQWQFV-UHFFFAOYSA-N,CCOC(=O)CCN(CCNC(=O)Cc1ccc(OC)cc1)C(C)=O,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0072_gnina_poses.sdf
FXIA-GEN-021223,Cn1nncc1-c1cc(CS(=O)(=O)NC(=O)CCCc2ccc(F)cc2)cc2ccncc12,225,linkinvent,0.9629863501,7.2815237045,-8.78873,467.526,106.84,3.138,1.0,6.0,8.0,0.0,2.834,0.0,0.142,0.234,O=C(CCCc1ccccc1)NS(=O)(=O)Cc1cc(-c2cnn[nH]2)c2cnccc2c1,CC(CCCC1CCCCC1)CC(C)(C)CC1CC2CCCCC2C(C2CCCC2)C1,160,true,ok,ORCJRHYEJLJGSJ-UHFFFAOYSA-N,Cn1nncc1-c1cc(CS(=O)(=O)NC(=O)CCCc2ccc(F)cc2)cc2ccncc12,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0043_gnina_poses.sdf
FXIA-GEN-037306,CCOC(CNC(=O)Nc1cnc2c(c1)CCCN2)c1ccccc1F,226,reinvent_denovo,0.9629787207,6.6197352409,-8.51057,358.417,75.28,3.478,3.0,4.0,6.0,0.0,3.066,0.0,0.165,0.227,O=C(NCCc1ccccc1)Nc1cnc2c(c1)CCCN2,CC(CCCC1CCCCC1)CC1CCC2CCCCC2C1,161,true,ok,ZTKHWKOJAMLQPJ-UHFFFAOYSA-N,CCOC(CNC(=O)Nc1cnc2c(c1)CCCN2)c1ccccc1F,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0075_gnina_poses.sdf
FXIA-GEN-016562,CCOc1ccc(C(=O)NNC(=O)C2(C(=O)c3ccco3)CC2)cc1OCC,228,reinvent_denovo,0.9625765085,6.2666807175,-7.97683,386.404,106.87,2.501,2.0,6.0,8.0,0.0,2.56,0.0,0.127,0.15,O=C(NNC(=O)C1(C(=O)c2ccco2)CC1)c1ccccc1,CC(CCC(C)C1(C(C)C2CCCC2)CC1)C1CCCCC1,162,true,ok,LQZUXPDCVFIDNB-UHFFFAOYSA-N,CCOc1ccc(C(=O)NNC(=O)C2(C(=O)c3ccco3)CC2)cc1OCC,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0034_gnina_poses.sdf
FXIA-GEN-019964,NC(=O)c1ccc(NC(=O)c2ccn(-c3cccc([N+](=O)[O-])c3)n2)c(Br)c1,229,reinvent_denovo,0.9625626206,6.8101811409,-9.44898,430.218,133.15,2.894,2.0,5.0,5.0,0.0,2.274,0.0,0.143,0.167,O=C(Nc1ccccc1)c1ccn(-c2ccccc2)n1,CC(CC1CCCCC1)C1CCC(C2CCCCC2)C1,163,true,ok,NUVBXLDBCDZNOO-UHFFFAOYSA-N,NC(=O)c1ccc(NC(=O)c2ccn(-c3cccc([N+](=O)[O-])c3)n2)c(Br)c1,results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0040_gnina_poses.sdf
